SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,February-1-1994,Townhouse,5548 Paxford Ct,Fairfax,VA,22032,530000,3,3.5,THE VILLAGE PARK SEC,1938,1540,1977,2,273,125,Pending,,,https://www.redfin.com/VA/Fairfax/5548-Paxford-Ct-22032/home/9728446,BRIGHT MLS,VAFX2070146,N,Y,38.8002419,-77.2921995
PAST SALE,August-24-2017,Townhouse,5769 Devon Ln,Burke,VA,22015,569888,3,2.5,BURKE VILLAGE SEC 4,1824,2970,1986,4,312,83,Pending,,,https://www.redfin.com/VA/Burke/5769-Devon-Ln-22015/home/9734344,BRIGHT MLS,VAFX2069840,N,Y,38.7960372,-77.2800465
PAST SALE,July-15-2011,Townhouse,5737 Walnut Wood Ln,Burke,VA,22015,529000,4,3.5,BURKE CENTRE,2128,1550,1981,4,249,89,Pending,,,https://www.redfin.com/VA/Burke/5737-Walnut-Wood-Ln-22015/home/9728907,BRIGHT MLS,VAFX2064500,N,Y,38.795333,-77.294468
PAST SALE,January-17-2014,Townhouse,10546 Reeds Landing Cir,Burke,VA,22015,499900,3,3.0,BURKE CENTRE,2205,3827,1981,4,227,81,Pending,,,https://www.redfin.com/VA/Burke/10546-Reed-s-Landing-Cir-22015/home/9732541,BRIGHT MLS,VAFX2069486,N,Y,38.790976,-77.308083
PAST SALE,November-30-1984,Single Family Residential,9005 Arley Dr,Springfield,VA,22153,775000,4,2.5,LAKEWOOD HILLS,1746,9820,1977,2,444,,Pending,,,https://www.redfin.com/VA/Springfield/9005-Arley-Dr-22153/home/9770168,BRIGHT MLS,VAFX2064792,N,Y,38.7584135,-77.2577347
MLS Listing,,Single Family Residential,5306 Greenough Pl,Burke,VA,22015,695000,3,2.0,LAKE BRADDOCK,1408,11315,1972,21,494,87,Contingent,,,https://www.redfin.com/VA/Burke/5306-Greenough-Pl-22015/home/9701843,BRIGHT MLS,VAFX2066076,N,Y,38.806291,-77.2782061
PAST SALE,October-31-2013,Single Family Residential,6616 Saddlehorn Ct,Burke,VA,22015,899000,5,3.5,ORANGE HUNT WEST,3600,9400,1981,5,250,,Pending,,,https://www.redfin.com/VA/Burke/6616-Saddlehorn-Ct-22015/home/9766448,BRIGHT MLS,VAFX2065608,N,Y,38.7707291,-77.2725274
PAST SALE,April-6-2018,Single Family Residential,5247 Signal Hill Dr,Burke,VA,22015,900000,4,3.5,SIGNAL HILL CARRS FIRST,3716,10952,1986,2,242,52,Pending,,,https://www.redfin.com/VA/Burke/5247-Signal-Hill-Dr-22015/home/9708640,BRIGHT MLS,VAFX2065864,N,Y,38.8058725,-77.2572857
PAST SALE,November-29-1984,Single Family Residential,9504 Burning Branch Rd,Burke,VA,22015,749900,4,2.5,CARDINAL GLEN,2528,10157,1977,6,297,,Pending,,,https://www.redfin.com/VA/Burke/9504-Burning-Branch-Rd-22015/home/9737340,BRIGHT MLS,VAFX2068448,N,Y,38.7855098,-77.2735824
PAST SALE,October-14-2003,Single Family Residential,9626 Villagesmith Way,Burke,VA,22015,865000,4,3.5,CHERRY RUN,3206,19314,1978,4,270,11,Pending,,,https://www.redfin.com/VA/Burke/9626-Villagesmith-Way-22015/home/9765967,BRIGHT MLS,VAFX2067828,N,Y,38.7742268,-77.281079
MLS Listing,,Townhouse,9032 Armendown Dr,Springfield,VA,22152,538000,3,3.0,SHANNON STATION,1448,1600,1983,22,372,83,Active,,,https://www.redfin.com/VA/Springfield/9032-Armendown-Dr-22152/home/9740295,BRIGHT MLS,VAFX2068912,N,Y,38.7788519,-77.2578132
MLS Listing,,Single Family Residential,7225 Whitson Dr,Springfield,VA,22153,849900,5,3.0,ROLLING VALLEY,2177,14108,1970,22,390,,Contingent,,,https://www.redfin.com/VA/Springfield/7225-Whitson-Dr-22153/home/9774671,BRIGHT MLS,VAFX2067134,N,Y,38.7592035,-77.2448484
PAST SALE,April-5-2016,Townhouse,7293 Olde Lantern Way,Springfield,VA,22152,615000,3,3.0,OLDE OAK RIDGE,1990,,1993,8,309,93,Pending,,,https://www.redfin.com/VA/Springfield/7293-Olde-Lantern-Way-22152/home/9775563,BRIGHT MLS,VAFX2069860,N,Y,38.7580219,-77.23281
MLS Listing,,Single Family Residential,6201 Erman Ct,Burke,VA,22015,650000,5,2.5,ROLLING VALLEY,1506,9205,1972,25,432,,Active,,,https://www.redfin.com/VA/Burke/6201-Erman-Ct-22015/home/9738704,BRIGHT MLS,VAFX2066110,N,Y,38.7845389,-77.2618652
PAST SALE,August-11-1978,Single Family Residential,7005 Cottontail Ct,Springfield,VA,22153,759950,5,3.0,ORANGE HUNT EST,2642,10689,1975,3,288,,Pending,,,https://www.redfin.com/VA/Springfield/7005-Cottontail-Ct-22153/home/9770275,BRIGHT MLS,VAFX2068606,N,Y,38.7631345,-77.2680606
PAST SALE,June-5-2015,Townhouse,10226 Roberts Common Ln,Burke,VA,22015,499900,3,2.5,PT BURKE CENTRE,1708,1680,1983,1,293,90,Pending,,,https://www.redfin.com/VA/Burke/10226-Roberts-Common-Ln-22015/home/9732800,BRIGHT MLS,VAFX2066414,N,Y,38.7904618,-77.2984495
MLS Listing,,Single Family Residential,9106 Lyon Park Ct,Burke,VA,22015,819990,4,3.0,SIGNAL HILL,2324,11931,1978,27,353,12,Contingent,,,https://www.redfin.com/VA/Burke/9106-Lyon-Park-Ct-22015/home/9736340,BRIGHT MLS,VAFX2069056,N,Y,38.803593,-77.2604958
MLS Listing,,Townhouse,5600 Summer Oak Way,Burke,VA,22015,425000,3,1.5,PT BURKE CENTRE,1300,2025,1981,27,327,100,Active,,,https://www.redfin.com/VA/Burke/5600-Summer-Oak-Way-22015/home/9729172,BRIGHT MLS,VAFX2066726,N,Y,38.7982221,-77.3096975
MLS Listing,,Townhouse,9910 Hemlock Woods Ln,Burke,VA,22015,559000,4,2.0,BURKE CENTRE,1740,3432,1978,27,321,83,Contingent,,,https://www.redfin.com/VA/Burke/9910-Hemlock-Woods-Ln-22015/home/9737965,BRIGHT MLS,VAFX2068666,N,Y,38.789074,-77.287575
PAST SALE,July-10-2020,Single Family Residential,5307 Greenough Pl,Burke,VA,22015,699900,4,2.5,LAKE BRADDOCK,1716,9088,1972,1,408,94,Pending,,,https://www.redfin.com/VA/Burke/5307-Greenough-Pl-22015/home/9701826,BRIGHT MLS,VAFX2069074,N,Y,38.8064425,-77.2777572
PAST SALE,January-22-1992,Single Family Residential,7013 Spur Rd,Springfield,VA,22153,950000,4,3.5,LAKEWOOD HILLS,3886,19149,1975,4,244,,Pending,,,https://www.redfin.com/VA/Springfield/7013-Spur-Rd-22153/home/9769990,BRIGHT MLS,VAFX2068860,N,Y,38.7631074,-77.2572408
PAST SALE,July-15-1969,Single Family Residential,7013 Hadlow Dr,Springfield,VA,22152,725000,6,4.5,ROLLING VALLEY,2692,8963,1969,4,269,,Pending,,,https://www.redfin.com/VA/Springfield/7013-Hadlow-Dr-22152/home/9774513,BRIGHT MLS,VAFX2069106,N,Y,38.7626711,-77.2418175
MLS Listing,,Townhouse,6035 Meyers Landing Ct,Burke,VA,22015,519000,4,3.5,PT BURKE CENTRE,1830,1540,1981,27,284,95,Contingent,,,https://www.redfin.com/VA/Burke/6035-Meyers-Landing-Ct-22015/home/9732709,BRIGHT MLS,VAFX2068868,N,Y,38.787577,-77.304597
PAST SALE,November-6-2020,Townhouse,6102 Old Landing Way #62,Burke,VA,22015,415000,3,2.5,WOODWALK CONDO,1360,,1980,15,305,328,Pending,,,https://www.redfin.com/VA/Burke/6102-Old-Landing-Way-22015/unit-62/home/9731915,BRIGHT MLS,VAFX2069468,N,Y,38.790326,-77.303392
PAST SALE,March-19-2022,Single Family Residential,6212 Wilmington Dr,Burke,VA,22015,874900,4,3.5,BURKE CENTRE,2802,8221,1977,16,312,76,Pending,,,https://www.redfin.com/VA/Burke/6212-Wilmington-Dr-22015/home/9737609,BRIGHT MLS,VAFX2067130,N,Y,38.7812984,-77.2861064
MLS Listing,,Single Family Residential,9104 Joyce Phillip Ct,Springfield,VA,22153,799000,4,2.5,ORANGE HUNT ESTATES,2303,11350,1970,27,347,,Active,,,https://www.redfin.com/VA/Springfield/9104-Joyce-Phillip-Ct-22153/home/9767364,BRIGHT MLS,VAFX2065238,N,Y,38.7671064,-77.2570163
PAST SALE,September-28-2004,Townhouse,6325 Buffie Ct,Burke,VA,22015,499888,3,3.5,OLD MILL COMMUNITY,2028,2350,1976,5,246,89,Pending,,,https://www.redfin.com/VA/Burke/6325-Buffie-Ct-22015/home/9739860,BRIGHT MLS,VAFX2068700,N,Y,38.7809251,-77.2699461
MLS Listing,,Single Family Residential,7261 Linden Tree Ln,Springfield,VA,22152,619900,4,2.0,LINDENWOOD,1800,7744,1984,27,344,,Active,,,https://www.redfin.com/VA/Springfield/7261-Linden-Tree-Ln-22152/home/9775258,BRIGHT MLS,VAFX2069236,N,Y,38.7582976,-77.2348348
MLS Listing,,Single Family Residential,8604 Lauren Dr,Springfield,VA,22153,699900,3,3.5,KNOLLS AT MIDDLE RUN,2744,13627,1989,28,255,18,Active,,,https://www.redfin.com/VA/Springfield/8604-Lauren-Dr-22153/home/9775590,BRIGHT MLS,VAFX2068124,N,Y,38.7516566,-77.2424686
PAST SALE,May-11-1981,Single Family Residential,7123 Game Lord Dr,Springfield,VA,22153,724900,4,3.0,ORANGE HUNT EST,2149,11959,1977,7,337,,Pending,,,https://www.redfin.com/VA/Springfield/7123-Game-Lord-Dr-22153/home/9770291,BRIGHT MLS,VAFX2067006,N,Y,38.7615347,-77.2681504
PAST SALE,May-11-2018,Single Family Residential,7629 Seabrook Ln,Springfield,VA,22153,929500,4,3.5,WHISPERWOOD,3182,15244,1995,19,292,18,Pending,,,https://www.redfin.com/VA/Springfield/7629-Seabrook-Ln-22153/home/9799297,BRIGHT MLS,VAFX2068914,N,Y,38.7465986,-77.2502366
MLS Listing,,Townhouse,9079 Giltinan Ct,Springfield,VA,22153,519000,3,2.5,GLENWOOD MANOR SEC,1733,1500,1978,28,299,92,Contingent,,,https://www.redfin.com/VA/Springfield/9079-Giltinan-Ct-22153/home/9770699,BRIGHT MLS,VAFX2067506,N,Y,38.756834,-77.257387
PAST SALE,January-17-2014,Townhouse,5851 Wood Flower Ct,Burke,VA,22015,519900,3,3.0,PT BURKE CENTRE,1696,1540,1979,10,307,103,Pending,,,https://www.redfin.com/VA/Burke/5851-Wood-Flower-Ct-22015/home/9728821,BRIGHT MLS,VAFX2067172,N,Y,38.7927772,-77.2950105
MLS Listing,,Townhouse,5484 Mersea Ct,Burke,VA,22015,585000,3,2.5,LAKE BRADDOCK,2008,2640,1971,29,291,91,Contingent,,,https://www.redfin.com/VA/Burke/5484-Mersea-Ct-22015/home/9735433,BRIGHT MLS,VAFX2066312,N,Y,38.802274,-77.268128
PAST SALE,January-19-2017,Single Family Residential,9517 Kirkfield Rd,Burke,VA,22015,750000,4,3.0,LAKE BRADDOCK,1860,11492,1972,23,403,90,Pending,,,https://www.redfin.com/VA/Burke/9517-Kirkfield-Rd-22015/home/9733260,BRIGHT MLS,VAFX2065430,N,Y,38.8050557,-77.2759391
PAST SALE,December-18-1997,Single Family Residential,8605 Lauren Dr,Springfield,VA,22153,709900,3,3.0,KNOLLS AT MIDDLE RUN,2117,7305,1989,15,335,21,Pending,,,https://www.redfin.com/VA/Springfield/8605-Lauren-Dr-22153/home/9775595,BRIGHT MLS,VAFX2066178,N,Y,38.7511521,-77.2433666
PAST SALE,May-17-2016,Townhouse,6330 Teakwood Ct,Burke,VA,22015,510000,3,2.5,OLD MILL COMMUNITY,1904,2491,1976,1,268,32,Pending,,,https://www.redfin.com/VA/Burke/6330-Teakwood-Ct-22015/home/9739881,BRIGHT MLS,VAFX2066012,N,Y,38.7803787,-77.2696431
MLS Listing,,Townhouse,6356 Draco St,Burke,VA,22015,445000,3,2.5,KEENE MILL WOODS SEC 1,1360,1400,1972,30,327,110,Contingent,,,https://www.redfin.com/VA/Burke/6356-Draco-St-22015/home/9739249,BRIGHT MLS,VAFX2068508,N,Y,38.7788682,-77.264065
MLS Listing,,Single Family Residential,5508 Burley Ct,Burke,VA,22015,769900,4,2.5,LAKE BRADDOCK,2361,10298,1971,33,326,97,Contingent,,,https://www.redfin.com/VA/Burke/5508-Burley-Ct-22015/home/9735303,BRIGHT MLS,VAFX2066294,N,Y,38.8005317,-77.2682851
MLS Listing,,Single Family Residential,7403 Jenna Rd,Springfield,VA,22153,899900,4,3.5,GLENWOOD MANOR,3414,13601,1981,33,264,,Contingent,,,https://www.redfin.com/VA/Springfield/7403-Jenna-Rd-22153/home/9771163,BRIGHT MLS,VAFX2067704,N,Y,38.7540984,-77.2660404
MLS Listing,,Townhouse,7223 Olde Lantern Way,Springfield,VA,22152,589900,3,2.5,OLDE OAK RIDGE,1995,2178,1989,34,296,93,Active,,,https://www.redfin.com/VA/Springfield/7223-Olde-Lantern-Way-22152/home/9775500,BRIGHT MLS,VAFX2064002,N,Y,38.759076,-77.229409
MLS Listing,,Townhouse,5529 Cabat Lake Ct,Fairfax,VA,22032,485000,3,2.0,PT THE VILLAGE PARK,1280,1400,1982,34,379,100,Contingent,,,https://www.redfin.com/VA/Fairfax/5529-Cabat-Lake-Ct-22032/home/9728552,BRIGHT MLS,VAFX2066316,N,Y,38.7996487,-77.293264
MLS Listing,,Townhouse,5050 Tibbitt Ln,Burke,VA,22015,429900,3,1.5,LAKE BRADDOCK,1782,1430,1971,35,241,90,Contingent,,,https://www.redfin.com/VA/Burke/5050-Tibbitt-Ln-22015/home/9707041,BRIGHT MLS,VAFX2062744,N,Y,38.81286,-77.26886
PAST SALE,June-26-2020,Townhouse,8809 Eagle Rock Ln,Springfield,VA,22153,635000,3,3.0,MIDDLEFORD SEC 2,2148,1400,1994,5,296,83,Pending,,,https://www.redfin.com/VA/Springfield/8809-Eagle-Rock-Ln-22153/home/9771385,BRIGHT MLS,VAFX2067228,N,Y,38.755595,-77.249825
MLS Listing,,Townhouse,7224 Olde Lantern Way,Springfield,VA,22152,640000,3,3.5,OLDE OAK RIDGE,1592,1672,1989,35,402,93,Contingent,,,https://www.redfin.com/VA/Springfield/7224-Olde-Lantern-Way-22152/home/9775480,BRIGHT MLS,VAFX2064946,N,Y,38.758915,-77.230276
MLS Listing,,Townhouse,9361 Peter Roy Ct,Burke,VA,22015,575000,2,3.0,CAROLINE OAKS,2210,1650,1989,35,260,91,Contingent,,,https://www.redfin.com/VA/Burke/9361-Peter-Roy-Ct-22015/home/9768897,BRIGHT MLS,VAFX2063992,N,Y,38.7737248,-77.2692278
PAST SALE,September-13-2005,Townhouse,5633 Summer Oak Way,Burke,VA,22015,500000,4,2.5,PT BURKE CENTRE,1464,2025,1981,35,342,90,Pending,,,https://www.redfin.com/VA/Burke/5633-Summer-Oak-Way-22015/home/9729185,BRIGHT MLS,VAFX2064996,N,Y,38.7982749,-77.311091
PAST SALE,,Townhouse,6451 Fenestra Ct Unit 53C,Burke,VA,22015,442500,3,2.5,KEENE MILL WOODS,1656,,1974,29,267,320,Pending,,,https://www.redfin.com/VA/Burke/6451-Fenestra-Ct-22015/unit-53C/home/179301967,BRIGHT MLS,VAFX2062642,N,Y,38.7776354,-77.2606417
PAST SALE,October-21-2020,Townhouse,10326 Mockingbird Pond Ct,Burke,VA,22015,520000,3,2.5,BURKE CENTRE,1546,1540,1980,7,336,89,Pending,,,https://www.redfin.com/VA/Burke/10326-Mockingbird-Pond-Ct-22015/home/9732210,BRIGHT MLS,VAFX2066338,N,Y,38.7837339,-77.3026571
MLS Listing,,Single Family Residential,6601 Reynard Dr,Springfield,VA,22152,675000,4,2.5,ORANGE HUNT ESTATES,2964,18219,1966,38,228,,Contingent,,,https://www.redfin.com/VA/Springfield/6601-Reynard-Dr-22152/home/9771521,BRIGHT MLS,VAFX2065994,N,Y,38.7744318,-77.2453873
MLS Listing,,Townhouse,6585 Forest Dew Ct,Springfield,VA,22152,475000,2,3.0,KEENE MILL VILLAGE SEC 3,1400,1600,1985,32,339,110,Active,,,https://www.redfin.com/VA/Springfield/6585-Forest-Dew-Ct-22152/home/9768370,BRIGHT MLS,VAFX2064966,N,Y,38.7761941,-77.2594295
MLS Listing,,Townhouse,6356 Shaundale Dr,Springfield,VA,22152,525000,4,3.5,SHANNON STATION,1777,1601,1980,40,295,83,Active,,,https://www.redfin.com/VA/Springfield/6356-Shaundale-Dr-22152/home/9740159,BRIGHT MLS,VAFX2064160,N,Y,38.7787008,-77.2523469
PAST SALE,March-30-2017,Single Family Residential,8706 Kerry Ln,Springfield,VA,22152,639900,4,2.5,ROLLING VALLEY,1530,10535,1967,4,418,,Pending,,,https://www.redfin.com/VA/Springfield/8706-Kerry-Ln-22152/home/9771888,BRIGHT MLS,VAFX2062478,N,Y,38.7658357,-77.2462404
PAST SALE,May-24-1984,Single Family Residential,10161 Marshall Pond Rd,Burke,VA,22015,675000,3,2.5,BURKE CENTRE,1847,7200,1978,5,365,91,Pending,,,https://www.redfin.com/VA/Burke/10161-Marshall-Pond-Rd-22015/home/9731530,BRIGHT MLS,VAFX2064220,N,Y,38.7823469,-77.2978211
PAST SALE,November-30-2010,Single Family Residential,7721 Green Garland Dr,Springfield,VA,22153,795000,4,3.5,AFTON GLEN,1858,10256,1985,4,428,51,Pending,,,https://www.redfin.com/VA/Springfield/7721-Green-Garland-Dr-22153/home/9802120,BRIGHT MLS,VAFX2063926,N,Y,38.7474368,-77.2450729
PAST SALE,August-28-2006,Single Family Residential,10031 Park Woods Ln,Burke,VA,22015,546250,4,3.5,BURKE CENTRE,1818,5746,1983,22,300,89,Pending,,,https://www.redfin.com/VA/Burke/10031-Park-Woods-Ln-22015/home/9732778,BRIGHT MLS,VAFX2064864,N,Y,38.7889805,-77.2948589
MLS Listing,,Single Family Residential,10714 Dundas Oak Ct,Burke,VA,22015,899000,4,3.5,BURKE CENTRE,3603,10418,1979,48,250,61,Contingent,,,https://www.redfin.com/VA/Burke/10714-Dundas-Oak-Ct-22015/home/9727293,BRIGHT MLS,VAFX2062268,N,Y,38.7933991,-77.314
MLS Listing,,Single Family Residential,9521 Burning Branch Rd,Burke,VA,22015,774000,5,2.5,CARDINAL GLEN,2664,11342,1977,,291,,Contingent,,,https://www.redfin.com/VA/Burke/9521-Burning-Branch-Rd-22015/home/9737261,BRIGHT MLS,VAFX2062128,N,Y,38.784998,-77.2758718
PAST SALE,February-17-2005,Townhouse,10598 Reeds Landing Cir,Burke,VA,22015,450000,3,2.0,BURKE CENTRE,884,4893,1981,18,509,117,Pending,,,https://www.redfin.com/VA/Burke/10598-Reed-s-Landing-Cir-22015/home/9732515,BRIGHT MLS,VAFX2042504,N,Y,38.7886469,-77.3074845
